# current time, NumCells_G0G1, NumCells_S, NumCells_G2, NumCells_M, NumCells_dead, SumVolume_G0G1, SumVolume_S, SumVolume_G2, SumVolume_M, SumVolume_dead, DNA damage quantiles live cells (Q1, Q2, Q3)
0 108 128 56 14 7 269352 319232 139664 34916 17458 0 0 0
60 120 111 56 11 31 265138 305311 155978 30601.4 43725.9 0 0 1.43625
120 123 98 50 14 56 261625 297944 156061 44515.2 41047.4 0 0 2.10398
180 121 74 47 18 89 259003 238450 162955 62571.9 58472.3 0 0 1.18729
240 115 69 34 23 117 249850 219123 126283 86927 51436.8 0 0 0.708309
300 108 65 25 26 141 239807 208644 98794.9 102132 46696.9 0 0 0.558882
360 93 62 25 27 160 212370 199112 100476 111586 53831.8 0 0 0.472058
420 78 62 26 27 175 181652 200425 107751 115993 36979 0 0.00880765 0.523346
480 66 53 30 30 190 156338 176426 120992 133166 38504.2 0 0.0100047 0.478779
540 57 48 22 35 200 136471 158621 94284.8 156544 44164.8 0 0.00955145 0.327444
